xaccel,yaccel,zaccel,label
1956,2381,2100,0
1963,2370,2131,0
1984,2371,2093,0
1974,2376,2103,0
1963,2379,2113,0
1965,2379,2126,0
1970,2371,2131,0
1951,2375,2122,0
2022,2348,2154,0
1975,2367,2146,0
1959,2377,2120,0
1941,2396,2102,0
1973,2371,2133,0
1969,2374,2117,0
1939,2384,2131,0
1969,2379,2122,0
1959,2378,2091,0
1979,2374,2125,0
1966,2377,2108,0
1982,2365,2135,0
1966,2365,2134,0
2000,2370,2155,0
1976,2377,2129,0
1966,2376,2121,0
1963,2378,2117,0
1960,2383,2098,0
1967,2381,2117,0
1967,2373,2146,0
1960,2378,2114,0
1859,2321,2145,0
1984,2371,2133,0
1967,2371,2132,0
1983,2357,2155,0
1967,2377,2108,0
1974,2372,2119,0
1960,2375,2114,0
1966,2369,2139,0
1975,2373,2119,0
1986,2366,2129,0
1967,2370,2135,0
1960,2380,2107,0
1967,2369,2133,0
1973,2380,2110,0
1953,2383,2089,0
1963,2373,2134,0
1987,2377,2113,0
1959,2381,2107,0
1987,2371,2121,0
1959,2378,2105,0
1973,2375,2136,0
1981,2371,2119,0
1963,2373,2125,0
1961,2383,2103,0
1955,2371,2123,0
1968,2373,2131,0
1978,2375,2107,0
1959,2377,2112,0
1976,2374,2127,0
1960,2378,2109,0
1979,2370,2125,0
1964,2365,2139,0
1962,2374,2120,0
1977,2370,2123,0
1951,2375,2132,0
1935,2377,2104,0
1969,2374,2119,0
1961,2369,2130,0
1965,2376,2109,0
1977,2373,2122,0
1965,2381,2114,0
1959,2382,2101,0
1968,2376,2107,0
1995,2365,2137,0
1970,2374,2119,0
1961,2379,2118,0
1975,2371,2120,0
1974,2370,2134,0
1972,2369,2125,0
1952,2382,2115,0
1966,2371,2117,0
1957,2379,2115,0
1955,2381,2107,0
1962,2378,2112,0
1970,2381,2127,0
1968,2372,2124,0
1959,2379,2111,0
1973,2373,2122,0
1968,2371,2117,0
1981,2375,2121,0
1946,2381,2095,0
1960,2383,2093,0
1970,2374,2114,0
1964,2379,2116,0
1953,2378,2106,0
1953,2375,2116,0
1965,2376,2112,0
1975,2373,2129,0
1968,2366,2119,0
1968,2369,2135,0
1975,2376,2123,0
1955,2381,2106,0
1973,2375,2123,0
1965,2367,2136,0
1971,2378,2125,0
1973,2374,2120,0
1961,2367,2124,0
1972,2371,2107,0
1975,2376,2127,0
1977,2373,2123,0
1971,2380,2110,0
1955,2380,2108,0
1959,2375,2112,0
1967,2380,2120,0
1951,2380,2109,0
1960,2372,2113,0
1969,2376,2128,0
1965,2367,2143,0
1963,2369,2136,0
1966,2378,2110,0
1986,2378,2129,0
1960,2373,2112,0
1974,2370,2119,0
1968,2376,2120,0
1970,2370,2121,0
1955,2374,2111,0
1963,2374,2135,0
1975,2375,2119,0
1974,2372,2123,0
1963,2375,2134,0
1990,2372,2129,0
1965,2366,2142,0
1999,2366,2141,0
1948,2380,2096,0
1968,2384,2113,0
1948,2381,2101,0
1978,2375,2117,0
1963,2355,2141,0
1955,2381,2105,0
1975,2375,2126,0
1978,2358,2164,0
1965,2374,2144,0
1953,2379,2117,0
1969,2378,2123,0
1975,2372,2120,0
1959,2378,2118,0
1997,2380,2128,0
1971,2367,2137,0
1967,2371,2141,0
1966,2366,2133,0
1963,2377,2127,0
1971,2382,2115,0
1966,2373,2133,0
1961,2369,2130,0
1983,2365,2156,0
1966,2377,2129,0
1970,2371,2119,0
1961,2379,2106,0
1959,2378,2092,0
1995,2371,2124,0
1946,2374,2110,0
1962,2370,2133,0
1968,2368,2139,0
1971,2378,2112,0
1962,2377,2114,0
1958,2377,2095,0
1971,2372,2125,0
1967,2371,2139,0
1980,2357,2162,0
1967,2374,2128,0
1978,2369,2129,0
1961,2379,2117,0
1953,2370,2126,0
1957,2375,2097,0
1969,2368,2133,0
1682,2172,2019,0
1965,2367,2135,0
1979,2370,2123,0
1968,2379,2115,0
1970,2373,2126,0
1947,2382,2090,0
1979,2368,2122,0
2070,2459,2014,0
1977,2373,2123,0
1977,2378,2123,0
1977,2379,2123,0
1929,2383,2059,0
1974,2373,2122,0
1939,2366,2130,0
1967,2374,2119,0
1988,2351,2186,0
1970,2371,2115,0
1978,2371,2131,0
1966,2383,2129,0
1967,2372,2135,0
1984,2371,2110,0
1963,2382,2110,0
1964,2380,2098,0
1946,2364,2124,0
1972,2377,2126,0
1966,2372,2121,0
1964,2385,2110,0
1976,2378,2115,0
1975,2372,2136,0
1970,2372,2130,0
1962,2377,2119,0
1964,2384,2122,0
1967,2377,2118,0
1967,2371,2135,0
1956,2379,2111,0
1963,2373,2112,0
1970,2374,2121,0
1981,2366,2152,0
1955,2378,2112,0
1960,2382,2122,0
1976,2359,2158,0
1986,2373,2158,0
1963,2373,2120,0
1969,2379,2122,0
1965,2375,2118,0
1969,2370,2134,0
1967,2379,2116,0
1950,2380,2091,0
1972,2375,2121,0
1961,2382,2114,0
1962,2378,2098,0
1949,2387,2089,0
1953,2379,2091,0
1976,2376,2121,0
1956,2378,2111,0
1989,2376,2123,0
1968,2377,2130,0
1974,2379,2115,0
1972,2375,2117,0
1970,2369,2134,0
1969,2376,2112,0
1972,2377,2120,0
1972,2369,2136,0
1970,2375,2121,0
1968,2374,2134,0
1977,2375,2132,0
1956,2376,2113,0
1954,2376,2109,0
1964,2376,2113,0
1973,2375,2126,0
1967,2383,2097,0
1971,2377,2114,0
1975,2375,2114,0
1970,2369,2139,0
1969,2377,2116,0
1970,2375,2119,0
1909,2389,2038,1
1927,2382,2021,1
1905,2395,2015,1
1895,2386,1981,1
1902,2379,2043,1
1876,2375,1972,1
1904,2385,2043,1
1902,2390,2010,1
1872,2376,1978,1
1892,2379,2003,1
1887,2379,1993,1
1872,2378,1966,1
1921,2395,2059,1
1897,2381,2032,1
1862,2375,1979,1
1898,2401,1977,1
1886,2381,2028,1
1890,2384,2033,1
1891,2385,1990,1
1880,2375,1978,1
1905,2390,2005,1
1894,2377,2011,1
1878,2383,1982,1
1895,2382,2003,1
1892,2379,1992,1
1894,2386,1991,1
1898,2386,2009,1
1881,2381,1971,1
1901,2384,2041,1
1891,2379,2006,1
1923,2391,2048,1
1882,2386,1987,1
1875,2383,1992,1
1898,2384,2033,1
1995,2373,2086,1
1877,2378,1973,1
1888,2383,1987,1
1884,2385,1987,1
1874,2376,1980,1
1881,2384,1989,1
1964,2449,2030,1
1905,2393,2005,1
1921,2397,2020,1
1882,2383,1972,1
1896,2385,2010,1
1921,2380,1966,1
1875,2386,1985,1
1896,2383,2028,1
1888,2383,1988,1
1879,2378,1971,1
1932,2375,2066,1
1874,2380,1977,1
1899,2386,2024,1
1887,2383,1996,1
1933,2403,2016,1
1882,2377,1972,1
1888,2380,1972,1
1881,2379,1983,1
1890,2390,2030,1
1914,2389,2034,1
1887,2381,1969,1
1912,2387,2030,1
1877,2381,1975,1
1894,2388,2038,1
1893,2388,2028,1
1897,2383,2026,1
1876,2378,1968,1
1903,2384,2032,1
1896,2383,2035,1
1919,2391,2039,1
1847,2358,2061,1
1896,2386,2021,1
1878,2381,1975,1
1876,2381,1978,1
1883,2375,1967,1
1873,2276,2016,1
1888,2374,1980,1
1934,2381,2017,1
1884,2383,1972,1
1893,2392,2035,1
1895,2389,2015,1
1891,2383,1960,1
1879,2380,1979,1
1900,2383,2024,1
1874,2383,1993,1
1898,2396,2007,1
1879,2382,1983,1
1891,2381,1988,1
1885,2374,2015,1
1879,2379,2005,1
1908,2378,2011,1
1932,2389,2027,1
1899,2387,2031,1
1890,2382,1999,1
1889,2387,2035,1
1891,2314,2104,1
1902,2382,2046,1
1922,2390,2036,1
1883,2383,2004,1
1886,2384,1986,1
1894,2407,1974,1
1882,2385,1998,1
1943,2391,2031,1
1893,2383,2027,1
1900,2383,2040,1
1871,2381,1989,1
1876,2385,1993,1
1891,2389,2027,1
1885,2385,2035,1
1891,2375,2011,1
1888,2382,2033,1
1893,2391,2013,1
1908,2383,1976,1
1875,2383,1983,1
1878,2380,1985,1
1869,2375,1980,1
1920,2386,2038,1
1899,2394,2024,1
1898,2384,2031,1
1889,2380,1978,1
1830,2417,2034,1
1898,2378,1979,1
1889,2380,1975,1
1894,2387,2028,1
1873,2378,1984,1
1887,2377,1965,1
1879,2381,1985,1
1880,2382,2111,1
1913,2380,2054,1
1912,2401,2037,1
1995,2403,2057,1
1878,2379,1994,1
1897,2383,2029,1
1891,2387,2005,1
1865,2371,1974,1
1855,2453,2070,1
1885,2381,1993,1
1928,2383,2062,1
1890,2385,2006,1
1894,2389,2037,1
1904,2384,2041,1
1884,2379,2011,1
1879,2379,1993,1
1896,2382,2024,1
1890,2385,2031,1
1899,2385,2031,1
1899,2383,2048,1
1876,2378,1993,1
1878,2382,1998,1
1913,2383,2015,1
1890,2382,1993,1
1914,2387,2043,1
1892,2386,2001,1
1874,2379,1982,1
1904,2382,2041,1
1908,2391,2009,1
1904,2390,2031,1
1902,2389,2009,1
1874,2385,1975,1
1879,2387,1996,1
1890,2383,1980,1
1911,2391,2015,1
1904,2383,2026,1
1899,2385,2035,1
1879,2385,1968,1
1878,2378,1995,1
1914,2387,2034,1
1879,2379,1979,1
1899,2378,2021,1
1854,2450,2036,1
1885,2377,1972,1
1872,2377,1974,1
1883,2383,1987,1
1898,2383,2017,1
1929,2371,2054,1
1894,2387,1984,1
1920,2380,2042,1
1898,2388,2025,1
1902,2386,1986,1
1899,2387,2012,1
1869,2380,1964,1
1897,2389,2035,1
1891,2384,2026,1
1896,2395,1996,1
1883,2377,1989,1
1887,2380,1965,1
1892,2388,1969,1
1875,2376,1983,1
1893,2385,1993,1
1871,2383,1985,1
1890,2381,2006,1
1871,2379,1981,1
1915,2388,2034,1
1899,2370,2020,1
1915,2384,2063,1
1900,2378,2036,1
1887,2383,1980,1
1885,2381,2006,1
1891,2384,2036,1
1902,2386,2042,1
1900,2390,2030,1
1895,2400,1979,1
1884,2383,1989,1
1906,2388,1966,1
1878,2381,1992,1
1876,2382,2004,1
1892,2376,2009,1
1874,2377,1982,1
1890,2383,2037,1
1905,2385,2026,1
1892,2382,2034,1
1890,2383,2038,1
1881,2383,1999,1
1905,2386,2017,1
1889,2381,2031,1
1889,2376,1987,1
1855,2374,2015,1
1894,2374,2056,1
1918,2380,2044,1
1884,2385,1980,1
1899,2389,2032,1
1876,2373,1984,1
1899,2390,2019,1
1903,2387,2010,1
1882,2386,2031,1
1880,2377,1989,1
1875,2379,1980,1
1902,2388,2015,1
1887,2379,2035,1
1867,2383,1975,1
1889,2379,1967,1
1874,2381,1967,1
1901,2378,2024,1
1879,2381,1987,1
1886,2385,1982,1
1902,2391,2011,1
1895,2379,1989,1
1891,2386,2018,1
1909,2389,2040,1
1877,2382,1982,1
1871,2356,2052,1
1897,2384,2023,1
1865,2377,1980,1
1894,2382,2036,1
1878,2387,1976,1
1902,2389,2021,1
1879,2379,1971,1
1869,2377,1983,1
1916,2389,2017,1
1912,2386,2032,1
1804,2465,2004,2
1913,2341,2001,2
1975,2367,2148,2
1856,2613,2058,2
1913,2338,2003,2
1919,2292,2063,2
1888,2354,2036,2
1890,2322,2039,2
1829,2554,2018,2
1995,2347,2110,2
1892,2289,2067,2
1871,2477,2002,2
1837,2543,2086,2
1883,2329,2039,2
1892,2363,2026,2
1883,2320,1997,2
1830,2467,2010,2
1896,2333,2004,2
1923,2295,2060,2
1883,2406,2041,2
1845,2416,2027,2
2002,2346,2134,2
1851,2526,2033,2
1875,2386,2088,2
1890,2451,2095,2
1905,2312,1998,2
1868,2525,1912,2
1971,2304,2141,2
1899,2314,2041,2
1927,2346,2076,2
1894,2382,2027,2
1949,2398,2146,2
1833,2323,2095,2
1869,2308,2028,2
1838,2316,2033,2
1861,2372,2083,2
1909,2350,2106,2
1854,2344,2078,2
1811,2341,2057,2
1805,2560,2137,2
1902,2332,1982,2
1837,2575,2024,2
1886,2288,2013,2
1920,2295,2032,2
1928,2291,2028,2
1817,2393,2023,2
2002,2330,2124,2
1870,2560,2136,2
1849,2437,2035,2
1907,2288,2049,2
1871,2544,1990,2
1901,2367,2013,2
1865,2347,2037,2
1915,2331,2016,2
1896,2387,2020,2
1928,2409,2120,2
1906,2327,2026,2
1883,2416,2026,2
1959,2367,2110,2
1814,2455,2014,2
1901,2391,2147,2
1897,2281,1995,2
1910,2334,2036,2
1918,2484,2014,2
1880,2291,2021,2
1860,2381,2089,2
1935,2217,2024,2
1899,2270,2050,2
1923,2386,2119,2
1894,2460,2043,2
1902,2368,2013,2
1866,2271,2047,2
1911,2282,2055,2
1875,2292,2008,2
2013,2602,2165,2
1829,2471,2110,2
1959,2367,2118,2
1917,2400,2067,2
1895,2286,2007,2
1905,2409,2027,2
1922,2374,2140,2
1894,2390,2026,2
1860,2321,2081,2
1824,2536,2103,2
1833,2385,2063,2
1878,2348,2092,2
1912,2359,1998,2
1888,2453,1980,2
1883,2258,2019,2
1919,2612,2093,2
1844,2549,2186,2
1807,2495,1994,2
1793,2514,1986,2
1891,2314,2066,2
1828,2393,2036,2
1854,2535,2066,2
1904,2336,2039,2
1880,2325,2069,2
1833,2300,2121,2
1902,2335,1996,2
1875,2346,2050,2
1881,2384,2037,2
1827,2489,2117,2
1892,2330,1980,2
1830,2435,2037,2
1825,2579,2121,2
1794,2530,1973,2
1841,2357,2033,2
1894,2247,2034,2
