Country,GDP,HIV,Lifeexp,Mil,Oilcons,Pop,Tel,Unempl
Brazil,8710,0.7,72.2,2.6,4.0,190,204.2,9.6
Canada,35370,0.3,80.3,1.1,25.1,33,622.3,6.4
China,7724,0.1,72.9,4.3,1.8,1322,278.4,4.2
France,29852,0.4,80.6,2.6,11.3,64,543.5,8.7
Germany,31941,0.1,79.0,1.5,11.7,82,657.8,7.1
India,3685,0.9,68.6,2.5,0.8,1130,44.0,7.8
Indonesia,4041,0.1,70.2,3.0,1.8,235,63.2,12.5
Italy,30199,0.5,79.9,1.8,11.8,58,430.8,7.0
Japan,33100,0.1,82.0,0.8,16.0,127,432.8,4.1
Mexico,10570,0.3,75.6,0.5,6.6,109,182.7,3.2
Russia,12350,1.1,65.9,2.7,6.5,141,283.6,6.6
South Korea,24386,0.1,77.2,2.7,16.0,49,547.8,3.3
Spain,27418,0.7,79.8,1.2,14.2,40,454.5,8.1
UK,31723,0.2,78.7,2.4,11.0,61,552.9,2.9
USA,43369,0.6,78.0,4.1,25.1,301,571.2,4.8
